off_team,def_team,play_type,location,depth_bucket,off_epa_per_att,def_epa_allowed_per_play,edge_off_minus_def,off_pass_attempts,def_pass_att_allowed
PIT,HOU,pass,middle,medium,0.167875,0.2710666513757189,-0.1031916513757189,8,20.0
PIT,HOU,pass,middle,deep,0.2175,-0.862906249880326,1.080406249880326,2,4.0
PIT,HOU,pass,right,short,0.020785714285714286,-0.4605119962396824,0.4812977105253967,28,47.0
PIT,HOU,pass,right,medium,0.12669999999999998,-0.5440682131400044,0.6707682131400043,10,11.0
PIT,HOU,pass,right,deep,0.35259999999999997,1.245712395088049,-0.8931123950880491,5,8.0
SF,PHI,pass,left,short,0.005980392156862745,-0.06249739881573647,0.0684777909725992,51,54.0
SF,PHI,pass,left,medium,0.015625,0.4122182832248577,-0.3965932832248577,24,20.0
SF,PHI,pass,left,deep,0.005692307692307692,0.3690612575416244,-0.36336894984931667,13,13.0
SF,PHI,pass,middle,short,0.003131578947368421,-0.6066066851676835,0.6097382641150518,38,35.0
SF,PHI,pass,middle,medium,0.007238095238095238,-0.3527565715535599,0.35999466679165515,21,8.0
SF,PHI,pass,middle,deep,0.36075,1.269983492461811,-0.909233492461811,4,3.0
SF,PHI,pass,right,short,0.004267857142857143,0.1097077740382198,-0.10543991689536265,56,72.0
SF,PHI,pass,right,medium,0.02,0.5293164594884565,-0.5093164594884565,12,15.0
SF,PHI,pass,right,deep,0.075,0.1714017877349676,-0.09640178773496759,7,21.0
