off_team,lane,off_rush_share
LA,center,0.7333333333333333
LAC,center,0.5833333333333334
LV,center,0.3181818181818182
MIA,center,0.5
MIN,center,0.72
NE,center,0.4528301886792453
NO,center,0.4565217391304347
NYG,center,0.5384615384615384
NYJ,center,0.5434782608695652
PHI,center,0.391304347826087
PIT,center,0.5
SEA,center,0.4426229508196721
SF,center,0.6037735849056604
TB,center,0.4814814814814814
TEN,center,0.5789473684210527
WAS,center,0.53125
,center,
,center,
Rush TDs (by lane),center,
Team,center,Middle
ARI,center,1
ATL,center,0
BAL,center,0
BUF,center,3
CAR,center,0
CHI,center,1
CIN,center,1
CLE,center,2
DAL,center,2
DEN,center,0
DET,center,5
GB,center,3
HOU,center,0
IND,center,4
JAX,center,2
KC,center,0
LA,center,2
LAC,center,0
LV,center,2
MIA,center,1
MIN,center,2
NE,center,1
NO,center,0
NYG,center,5
NYJ,center,1
PHI,center,3
PIT,center,0
SEA,center,0
SF,center,1
TB,center,1
TEN,center,2
WAS,center,2
ARI,right_guard,4
ATL,right_guard,12.8
BAL,right_guard,13
BUF,right_guard,16.2
CAR,right_guard,9
CHI,right_guard,16.5
CIN,right_guard,22.8
CLE,right_guard,20.3
DAL,right_guard,14.5
DEN,right_guard,12.6
DET,right_guard,9.5
GB,right_guard,7.6
HOU,right_guard,17.8
IND,right_guard,9.7
JAX,right_guard,5.3
KC,right_guard,14.3
LA,right_guard,13.1
LAC,right_guard,9.9
LV,right_guard,18.3
MIA,right_guard,6.7
MIN,right_guard,9.4
NE,right_guard,11
NO,right_guard,15.9
NYG,right_guard,11
NYJ,right_guard,10.5
PHI,right_guard,15.9
PIT,right_guard,11.1
SEA,right_guard,12.3
SF,right_guard,12.6
TB,right_guard,12.4
TEN,right_guard,14.1
WAS,right_guard,8.6
,right_guard,
,right_guard,
Yards per Carry (by lane),right_guard,
Team,right_guard,Right Guard
ARI,right_guard,5.571428571428571
ATL,right_guard,6.045454545454546
BAL,right_guard,5.277777777777778
BUF,right_guard,4.576923076923077
CAR,right_guard,5.611111111111111
CHI,right_guard,4.074074074074074
CIN,right_guard,2.896551724137931
CLE,right_guard,4.371428571428571
DAL,right_guard,3.875
DEN,right_guard,6.434782608695652
DET,right_guard,7.473684210526316
GB,right_guard,5
HOU,right_guard,5.56
IND,right_guard,5.777777777777778
JAX,right_guard,3.222222222222222
KC,right_guard,3.304347826086957
LA,right_guard,3.238095238095238
LAC,right_guard,2
LV,right_guard,3.4
MIA,right_guard,3.777777777777778
MIN,right_guard,6.230769230769231
NE,right_guard,2.333333333333333
NO,right_guard,3.666666666666667
NYG,right_guard,4.086956521739131
NYJ,right_guard,3.368421052631579
PHI,right_guard,3.357142857142857
PIT,right_guard,4.6
SEA,right_guard,4.458333333333333
SF,right_guard,3.583333333333333
TB,right_guard,5.619047619047619
TEN,right_guard,4.315789473684211
WAS,right_guard,3.466666666666667
,right_guard,
,right_guard,
Rush Success Rate (by lane),right_guard,
Team,right_guard,Right Guard
ARI,right_guard,0.7142857142857143
ATL,right_guard,0.5
BAL,right_guard,0.6666666666666666
BUF,right_guard,0.6538461538461539
CAR,right_guard,0.3888888888888889
CHI,right_guard,0.5555555555555556
CIN,right_guard,0.4827586206896552
CLE,right_guard,0.4857142857142857
DAL,right_guard,0.6666666666666666
DEN,right_guard,0.6086956521739131
DET,right_guard,0.3684210526315789
GB,right_guard,0.6923076923076923
HOU,right_guard,0.48
IND,right_guard,0.6666666666666666
JAX,right_guard,0.4444444444444444
KC,right_guard,0.5217391304347826
LA,right_guard,0.4285714285714285
LAC,right_guard,0.4
LV,right_guard,0.5333333333333333
MIA,right_guard,0.4444444444444444
MIN,right_guard,0.6153846153846154
NE,right_guard,0.3888888888888889
NO,right_guard,0.3703703703703703
NYG,right_guard,0.4782608695652174
NYJ,right_guard,0.3157894736842105
PHI,right_guard,0.4285714285714285
PIT,right_guard,0.6666666666666666
SEA,right_guard,0.5416666666666666
SF,right_guard,0.5
TB,right_guard,0.7619047619047619
TEN,right_guard,0.3157894736842105
WAS,right_guard,0.4666666666666667
,right_guard,
,right_guard,
Rush TDs (by lane),right_guard,
Team,right_guard,Right Guard
ARI,right_guard,0
ATL,right_guard,2
BAL,right_guard,2
BUF,right_guard,0
CAR,right_guard,0
CHI,right_guard,2
CIN,right_guard,1
CLE,right_guard,2
DAL,right_guard,3
DEN,right_guard,2
DET,right_guard,0
GB,right_guard,1
HOU,right_guard,2
IND,right_guard,3
JAX,right_guard,0
KC,right_guard,2
LA,right_guard,0
LAC,right_guard,0
LV,right_guard,0
MIA,right_guard,0
MIN,right_guard,0
NE,right_guard,1
NO,right_guard,1
NYG,right_guard,1
NYJ,right_guard,0
PHI,right_guard,1
PIT,right_guard,0
SEA,right_guard,1
SF,right_guard,0
TB,right_guard,1
TEN,right_guard,0
WAS,right_guard,0
ARI,right_tackle,16.8
ATL,right_tackle,19.8
BAL,right_tackle,15.2
BUF,right_tackle,14.5
CAR,right_tackle,7.5
CHI,right_tackle,12.2
CIN,right_tackle,6.3
CLE,right_tackle,15.1
DAL,right_tackle,12
DEN,right_tackle,16.4
DET,right_tackle,21.5
GB,right_tackle,10.6
HOU,right_tackle,12.3
IND,right_tackle,8.6
JAX,right_tackle,4.1
KC,right_tackle,8.8
LA,right_tackle,16.2
LAC,right_tackle,15.8
LV,right_tackle,7.9
MIA,right_tackle,8.1
MIN,right_tackle,11.6
NE,right_tackle,7.2
NO,right_tackle,10.4
NYG,right_tackle,12.4
NYJ,right_tackle,7.7
PHI,right_tackle,12.5
PIT,right_tackle,12.6
SEA,right_tackle,7.2
SF,right_tackle,13.1
TB,right_tackle,8.9
TEN,right_tackle,11.9
WAS,right_tackle,10.2
,right_tackle,
,right_tackle,
Yards per Carry (by lane),right_tackle,
Team,right_tackle,Right Tackle
ARI,right_tackle,3.962962962962963
ATL,right_tackle,3.941176470588236
BAL,right_tackle,7.238095238095238
BUF,right_tackle,3.96
CAR,right_tackle,5.785714285714286
CHI,right_tackle,6.578947368421052
CIN,right_tackle,3.125
CLE,right_tackle,4
DAL,right_tackle,5.7
DEN,right_tackle,4.111111111111111
DET,right_tackle,4.86046511627907
GB,right_tackle,2.722222222222222
HOU,right_tackle,2.5
IND,right_tackle,4.533333333333333
JAX,right_tackle,4.714285714285714
KC,right_tackle,5.5
LA,right_tackle,4
LAC,right_tackle,7.636363636363637
LV,right_tackle,2.384615384615385
MIA,right_tackle,5.272727272727272
MIN,right_tackle,2.8
NE,right_tackle,3.166666666666667
NO,right_tackle,1.823529411764706
NYG,right_tackle,2.76
NYJ,right_tackle,5.5
PHI,right_tackle,6.105263157894737
PIT,right_tackle,5.176470588235294
SEA,right_tackle,6.071428571428571
SF,right_tackle,2.24
TB,right_tackle,3.733333333333333
TEN,right_tackle,5.5625
WAS,right_tackle,8.055555555555555
,right_tackle,
,right_tackle,
Rush Success Rate (by lane),right_tackle,
Team,right_tackle,Right Tackle
ARI,right_tackle,0.4074074074074074
ATL,right_tackle,0.4411764705882353
BAL,right_tackle,0.5238095238095238
BUF,right_tackle,0.64
CAR,right_tackle,0.5714285714285714
CHI,right_tackle,0.631578947368421
CIN,right_tackle,0.375
CLE,right_tackle,0.5
DAL,right_tackle,0.5
DEN,right_tackle,0.4814814814814814
DET,right_tackle,0.4418604651162791
GB,right_tackle,0.2222222222222222
HOU,right_tackle,0.3333333333333333
IND,right_tackle,0.4
JAX,right_tackle,0.8571428571428571
KC,right_tackle,0.5
LA,right_tackle,0.4615384615384615
LAC,right_tackle,0.5
LV,right_tackle,0.3076923076923077
MIA,right_tackle,0.2727272727272727
MIN,right_tackle,0.2
NE,right_tackle,0.4166666666666667
NO,right_tackle,0.2941176470588235
NYG,right_tackle,0.4
NYJ,right_tackle,0.5833333333333334
PHI,right_tackle,0.631578947368421
PIT,right_tackle,0.3529411764705882
SEA,right_tackle,0.5714285714285714
SF,right_tackle,0.28
TB,right_tackle,0.5333333333333333
TEN,right_tackle,0.5625
WAS,right_tackle,0.4444444444444444
,right_tackle,
,right_tackle,
Rush TDs (by lane),right_tackle,
Team,right_tackle,Right Tackle
ARI,right_tackle,0
ATL,right_tackle,1
BAL,right_tackle,1
BUF,right_tackle,1
CAR,right_tackle,0
CHI,right_tackle,0
CIN,right_tackle,0
CLE,right_tackle,1
DAL,right_tackle,1
DEN,right_tackle,0
DET,right_tackle,1
GB,right_tackle,0
HOU,right_tackle,0
IND,right_tackle,1
JAX,right_tackle,0
KC,right_tackle,1
LA,right_tackle,0
LAC,right_tackle,2
LV,right_tackle,0
MIA,right_tackle,0
MIN,right_tackle,0
NE,right_tackle,0
NO,right_tackle,0
NYG,right_tackle,1
NYJ,right_tackle,1
PHI,right_tackle,1
PIT,right_tackle,0
SEA,right_tackle,1
SF,right_tackle,1
TB,right_tackle,0
TEN,right_tackle,0
WAS,right_tackle,0
ARI,right_end,15
ATL,right_end,12.2
BAL,right_end,18.1
BUF,right_end,11
CAR,right_end,7
CHI,right_end,15.2
CIN,right_end,10.2
CLE,right_end,7
DAL,right_end,11.4
DEN,right_end,16.4
DET,right_end,14.5
GB,right_end,20.6
HOU,right_end,13.7
IND,right_end,10.8
JAX,right_end,14.6
KC,right_end,17
LA,right_end,11.2
LAC,right_end,5.9
LV,right_end,9.1
MIA,right_end,22.2
MIN,right_end,15.2
NE,right_end,8.8
NO,right_end,13.2
NYG,right_end,8.1
NYJ,right_end,12.2
PHI,right_end,11.9
PIT,right_end,11.9
SEA,right_end,8.7
SF,right_end,11
TB,right_end,12.4
TEN,right_end,12.6
WAS,right_end,15.1
,right_end,
,right_end,
Yards per Carry (by lane),right_end,
Team,right_end,Right End
ARI,right_end,6.222222222222222
ATL,right_end,4.842105263157895
BAL,right_end,7.210526315789473
BUF,right_end,3.714285714285714
CAR,right_end,12.88888888888889
CHI,right_end,6
CIN,right_end,3.076923076923077
CLE,right_end,4.1
DAL,right_end,1.823529411764706
DEN,right_end,3.36
DET,right_end,4.142857142857143
GB,right_end,3.740740740740741
HOU,right_end,3.666666666666667
IND,right_end,4.642857142857143
JAX,right_end,3.681818181818182
KC,right_end,4.157894736842105
LA,right_end,7.2
LAC,right_end,7.75
LV,right_end,6.363636363636363
MIA,right_end,6.785714285714286
MIN,right_end,5.894736842105263
NE,right_end,5.833333333333333
NO,right_end,3.521739130434783
NYG,right_end,4.642857142857143
NYJ,right_end,4.142857142857143
PHI,right_end,1.8125
PIT,right_end,7.615384615384615
SEA,right_end,6.466666666666667
SF,right_end,4.222222222222222
TB,right_end,1.866666666666667
TEN,right_end,3.454545454545455
WAS,right_end,5.722222222222222
,right_end,
,right_end,
Rush Success Rate (by lane),right_end,
Team,right_end,Right End
ARI,right_end,0.5
ATL,right_end,0.5263157894736842
BAL,right_end,0.4736842105263157
BUF,right_end,0.5
CAR,right_end,0.8888888888888888
CHI,right_end,0.5909090909090909
CIN,right_end,0.4615384615384615
CLE,right_end,0.4
DAL,right_end,0.2941176470588235
DEN,right_end,0.4
DET,right_end,0.4285714285714285
GB,right_end,0.4814814814814814
HOU,right_end,0.3333333333333333
IND,right_end,0.7857142857142857
JAX,right_end,0.6818181818181818
KC,right_end,0.631578947368421
LA,right_end,0.8
LAC,right_end,0.5
LV,right_end,0.7272727272727273
MIA,right_end,0.5357142857142857
MIN,right_end,0.631578947368421
NE,right_end,0.6666666666666666
NO,right_end,0.5217391304347826
NYG,right_end,0.5
NYJ,right_end,0.6428571428571429
PHI,right_end,0.5625
PIT,right_end,0.5384615384615384
SEA,right_end,0.5333333333333333
SF,right_end,0.5555555555555556
TB,right_end,0.2666666666666666
TEN,right_end,0.5454545454545454
WAS,right_end,0.6666666666666666
,right_end,
,right_end,
Rush TDs (by lane),right_end,
Team,right_end,Right End
ARI,right_end,0
ATL,right_end,1
BAL,right_end,1
BUF,right_end,1
CAR,right_end,0
CHI,right_end,1
CIN,right_end,0
CLE,right_end,0
DAL,right_end,1
DEN,right_end,1
DET,right_end,2
GB,right_end,0
HOU,right_end,0
IND,right_end,3
JAX,right_end,0
KC,right_end,2
LA,right_end,0
LAC,right_end,0
