def_team,lane,def_rush_share_allowed
DEN,right_tackle,3.958333333333333
DET,right_tackle,4.25
GB,right_tackle,4.3
HOU,right_tackle,4.454545454545454
IND,right_tackle,6.086956521739131
JAX,right_tackle,5.941176470588236
KC,right_tackle,5.588235294117647
LA,right_tackle,4.458333333333333
LAC,right_tackle,5.105263157894737
LV,right_tackle,3.5
MIA,right_tackle,4.222222222222222
MIN,right_tackle,4.913043478260869
NE,right_tackle,1.461538461538461
NO,right_tackle,5.344827586206897
NYG,right_tackle,9.666666666666666
NYJ,right_tackle,3.461538461538462
PHI,right_tackle,2.894736842105263
PIT,right_tackle,3.6
SEA,right_tackle,4.722222222222222
SF,right_tackle,0.7272727272727273
TB,right_tackle,2.619047619047619
TEN,right_tackle,3.037037037037037
WAS,right_tackle,4.67741935483871
,right_tackle,
,right_tackle,
Rush Success Rate (by lane),right_tackle,
Team,right_tackle,Right Tackle
ARI,right_tackle,0.391304347826087
ATL,right_tackle,0.4166666666666667
BAL,right_tackle,0.5
BUF,right_tackle,0.3125
CAR,right_tackle,0.4117647058823529
CHI,right_tackle,0.4
CIN,right_tackle,0.3846153846153846
CLE,right_tackle,0.303030303030303
DAL,right_tackle,0.6666666666666666
DEN,right_tackle,0.2916666666666667
DET,right_tackle,0.4375
GB,right_tackle,0.5
HOU,right_tackle,0.4545454545454545
IND,right_tackle,0.6956521739130435
JAX,right_tackle,0.3529411764705883
KC,right_tackle,0.4705882352941176
LA,right_tackle,0.5
LAC,right_tackle,0.3684210526315789
LV,right_tackle,0.3333333333333333
MIA,right_tackle,0.2962962962962963
MIN,right_tackle,0.391304347826087
NE,right_tackle,0.07692307692307693
NO,right_tackle,0.4482758620689655
NYG,right_tackle,0.5238095238095238
NYJ,right_tackle,0.3846153846153846
PHI,right_tackle,0.2105263157894737
PIT,right_tackle,0.5
SEA,right_tackle,0.2777777777777778
SF,right_tackle,0.2727272727272727
TB,right_tackle,0.1904761904761905
TEN,right_tackle,0.2962962962962963
WAS,right_tackle,0.3870967741935484
,right_tackle,
,right_tackle,
Rush TDs (by lane),right_tackle,
Team,right_tackle,Right Tackle
ARI,right_tackle,0
ATL,right_tackle,1
BAL,right_tackle,1
BUF,right_tackle,1
CAR,right_tackle,0
CHI,right_tackle,0
CIN,right_tackle,2
CLE,right_tackle,0
DAL,right_tackle,0
DEN,right_tackle,1
DET,right_tackle,0
GB,right_tackle,0
HOU,right_tackle,0
IND,right_tackle,0
JAX,right_tackle,1
KC,right_tackle,1
LA,right_tackle,0
LAC,right_tackle,1
LV,right_tackle,0
MIA,right_tackle,0
MIN,right_tackle,0
NE,right_tackle,0
NO,right_tackle,0
NYG,right_tackle,2
NYJ,right_tackle,1
PHI,right_tackle,1
PIT,right_tackle,1
SEA,right_tackle,0
SF,right_tackle,0
TB,right_tackle,1
TEN,right_tackle,0
WAS,right_tackle,1
ARI,right_end,13.7
ATL,right_end,9.9
BAL,right_end,12.7
BUF,right_end,10.6
CAR,right_end,9.9
CHI,right_end,16.3
CIN,right_end,15.1
CLE,right_end,19.5
DAL,right_end,12.4
DEN,right_end,9.6
DET,right_end,17.7
GB,right_end,13.2
HOU,right_end,4.2
IND,right_end,12.8
JAX,right_end,15
KC,right_end,17.9
LA,right_end,12.8
LAC,right_end,14.5
LV,right_end,5.8
MIA,right_end,8.7
MIN,right_end,8.4
NE,right_end,11.2
NO,right_end,12.9
NYG,right_end,16.9
NYJ,right_end,12.7
PHI,right_end,16.2
PIT,right_end,8.4
SEA,right_end,14
SF,right_end,12.8
TB,right_end,11.2
TEN,right_end,10.4
WAS,right_end,13
,right_end,
,right_end,
Yards per Carry (by lane),right_end,
Team,right_end,Right End
